Date,Country,# AI projects (fractional count based on contributions) per capita (* 10^6)
2011,CAN,1.8788545265067504
2012,CAN,4.833903395559318
2013,CAN,8.915652339309853
2014,CAN,16.000477949377544
2015,CAN,34.62043363526579
2016,CAN,61.10294330683789
2017,CAN,119.11017983301572
2018,CAN,152.23543640154708
2019,CAN,179.70611027883928
2020,CAN,244.39250647865705
2021,CAN,198.70231878234512
2022,CAN,174.6414559620027
2011,CHE,5.1011199297608645
2012,CHE,6.014026099740886
2013,CHE,12.75848244097854
2014,CHE,24.138562319620732
2015,CHE,34.591791059012394
2016,CHE,66.40674296200632
2017,CHE,131.8424638895199
2018,CHE,142.9163171871794
2019,CHE,157.37261663759085
2020,CHE,190.98693473015476
2021,CHE,170.8273897662641
2022,CHE,136.3453533758203
2011,FIN,1.1576348430443006
2012,FIN,3.0633723065749705
2013,FIN,7.928332925780827
2014,FIN,19.02952501065639
2015,FIN,30.130095093904934
2016,FIN,49.84206033771022
2017,FIN,86.06021697777174
2018,FIN,105.80206827092616
2019,FIN,137.80135346491582
2020,FIN,129.8284078087466
2021,FIN,116.30396972334822
2022,FIN,106.68508380827818
2011,GBR,1.7508872218747082
2012,GBR,3.4799280536180293
2013,GBR,8.393410483703498
2014,GBR,14.951555910596245
2015,GBR,26.529629476797478
2016,GBR,42.75442647765007
2017,GBR,75.75917570722801
2018,GBR,89.94050703378845
2019,GBR,103.77889051263993
2020,GBR,133.03373633368614
2021,GBR,125.05574934317535
2022,GBR,126.54054707585054
2011,IRL,0.6627828452491265
2012,IRL,2.1357668165442014
2013,IRL,5.0767278996396055
2014,IRL,16.78538258254003
2015,IRL,35.501784682420535
2016,IRL,68.46356218857346
2017,IRL,131.7916911636839
2018,IRL,182.79034903425213
2019,IRL,237.61818845073506
2020,IRL,340.6640201505353
2021,IRL,243.75308269510344
2022,IRL,176.54157789122615
2011,NLD,2.0846156921127887
2012,NLD,3.3303879984926255
2013,NLD,5.879910442673695
2014,NLD,11.902270606690491
2015,NLD,21.41926703562938
2016,NLD,34.489368968769455
2017,NLD,67.38409528385944
2018,NLD,79.39019038484126
2019,NLD,95.23259090841479
2020,NLD,122.97693776338043
2021,NLD,112.78288723724799
2022,NLD,102.81085636246924
2011,NOR,2.4301629104913944
2012,NOR,4.086192828120663
2013,NOR,4.069205718613369
2014,NOR,18.491696623784946
2015,NOR,25.085947962526355
2016,NOR,49.086751772225874
2017,NOR,86.64929423487125
2018,NOR,103.89647294874392
2019,NOR,112.48465714366921
2020,NOR,151.04157506076336
2021,NOR,143.09550915996095
2022,NOR,128.0189069988462
2011,SGP,0.591700342690378
2012,SGP,3.613409380666538
2013,SGP,12.603648705113866
2014,SGP,28.10736159630724
2015,SGP,66.68492013191684
2016,SGP,87.02170061685847
2017,SGP,195.32560951902917
2018,SGP,226.32312585436722
2019,SGP,250.52893407618984
2020,SGP,292.2243581254165
2021,SGP,295.58816048068365
2022,SGP,289.4270270131507
2011,SWE,2.382269873692126
2012,SWE,6.320196145250727
2013,SWE,9.76148945161436
2014,SWE,15.695359087304082
2015,SWE,22.90535550605938
2016,SWE,46.688161373201986
2017,SWE,89.16710659834885
2018,SWE,108.91328673775313
2019,SWE,119.32471618765729
2020,SWE,135.59870147531612
2021,SWE,129.74047704974677
2022,SWE,108.58871603949035
2011,USA,1.439835660928379
2012,USA,2.6722496476987265
2013,USA,6.412121485928111
2014,USA,13.191002082881518
2015,USA,25.603063489685944
2016,USA,46.84546573871801
2017,USA,88.53112486394652
2018,USA,107.00079821453183
2019,USA,107.54102663304678
2020,USA,129.40994086655766
2021,USA,100.98097904797812
2022,USA,89.07665738021065
,,
2013,UZB,0.03306528409692096
2015,UZB,0.03216735160021598
2016,UZB,0.18841421302503464
2017,UZB,0.17824962530025995
2018,UZB,0.21360187470604836
2019,UZB,0.4917655119735202
2020,UZB,1.2329507210348198
2021,UZB,3.2329129860719283
2022,UZB,5.054689627124081